City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
302,nanakuli,21.3906,-158.1547,21.45,72,75,2.06,US,1702836232
303,sauri,11.7266,6.7837,24.17,16,14,3.5,NG,1702836233
304,serowe,-22.3833,26.7167,24.7,60,98,4.74,BW,1702836234
305,mikuni,36.2171,136.1519,3.95,65,100,7.35,JP,1702836235
306,tsengel,49.4783,100.8894,-19.96,98,100,1.04,MN,1702836236
307,fada,9.5667,8.3,25.25,23,8,2.35,NG,1702836237
308,invercargill,-46.4,168.35,8.05,88,17,2.56,NZ,1702836238
309,chaparral,3.7232,-75.4832,21.82,90,100,1.08,CO,1702836238
310,waingapu,-9.6567,120.2641,25.44,75,47,3.92,ID,1702836239
311,ust-nera,64.5667,143.2,-34.73,100,99,1.25,RU,1702836240
312,la passe,45.5549,-0.8967,3.13,76,0,1.53,FR,1702836242
313,hammerfest,70.6634,23.6821,0.25,93,75,2.57,NO,1702836243
314,mindelo,16.8901,-24.9804,26.75,54,40,8.75,CV,1702836244
315,gorontalo,0.5412,123.0595,24.55,96,97,1.45,ID,1702836245
316,vila franca do campo,37.7167,-25.4333,19.23,99,100,3.75,PT,1702836246
317,peace river,56.2501,-117.286,-10.83,85,75,2.57,CA,1702836054
318,prado,-17.3411,-39.2208,28.25,64,12,3.83,BR,1702836103
319,torghay,49.6339,63.4981,-4.88,63,100,3.58,KZ,1702836249
320,remire-montjoly,4.9167,-52.2667,31.02,66,20,4.63,GF,1702836251
321,afaahiti,-17.75,-149.2833,26.93,84,92,7.1,PF,1702836251
322,codrington,-38.2667,141.9667,13.98,73,100,2.67,AU,1702836252
323,zhaobaoshan,29.9695,121.6875,3.01,69,100,2.7,CN,1702836253
324,madang,-5.2246,145.7966,24.98,91,100,1.34,PG,1702836254
325,mahajanga,-15.7167,46.3167,29.01,74,20,3.6,MG,1702836255
326,faya-largeau,17.9257,19.1043,22.6,20,2,7.57,TD,1702836256
327,digne-les-bains,44.0833,6.25,6.29,60,0,1.95,FR,1702836257
328,yuzhno-kurilsk,44.0306,145.8556,-2.57,76,100,10.71,RU,1702836258
329,kruisfontein,-34.0033,24.7314,19.38,86,4,5.91,ZA,1702836259
330,gangneung,37.7556,128.8961,-7.69,43,0,4.24,KR,1702836260
331,melilla,35.2937,-2.9383,15.21,63,75,3.09,ES,1702836261
332,mabaruma,8.2,-59.7833,31.21,51,38,3.1,GY,1702836261
333,lagos,6.5833,3.75,31.18,71,42,2.26,NG,1702835976
334,constantia,44.1833,28.65,2.61,71,59,6.31,RO,1702836263
335,orkney,-26.9802,26.6727,28.84,27,60,2.39,ZA,1702836264
336,labrador city,52.9463,-66.9114,-2.05,80,100,10.29,CA,1702836015
337,champerico,14.3,-91.9167,33.3,65,7,2.8,GT,1702836266
338,swakopmund,-22.6833,14.5333,16.66,81,74,2.68,NA,1702836266
339,puerto baquerizo moreno,-0.9,-89.6,28.55,70,75,4.12,EC,1702836267
340,kirakira,-10.4544,161.9205,24.34,80,95,1.19,SB,1702836268
341,hojo,33.9766,132.7777,3.05,61,100,5.84,JP,1702836269
342,isangel,-19.55,169.2667,25.01,85,68,5.94,VU,1702836270
343,winston,28.0317,-82.0148,21.63,73,75,7.2,US,1702836271
344,dawei,14.0833,98.2,24.55,75,30,2.6,MM,1702836271
345,nyurba,63.2842,118.3319,-43.71,100,89,1.24,RU,1702836272
346,arkhangel'sk,64.5401,40.5433,-5.94,100,75,2.0,RU,1702836273
347,xining,36.6167,101.7667,-10.12,84,92,0.78,CN,1702836274
348,hungnam,39.8317,127.6186,-15.22,79,2,3.89,KP,1702836275
349,tangalle,6.024,80.7911,25.02,90,96,3.08,LK,1702836275
350,bikenibeu village,1.3673,173.1241,26.98,94,75,1.54,KI,1702836276
351,sainyabuli,19.25,101.75,17.74,90,10,0.47,LA,1702836278
352,kailua-kona,19.6406,-155.9956,21.95,70,40,2.57,US,1702836279
353,tobruk,32.0836,23.9764,17.5,76,13,6.56,LY,1702836279
354,ta`u,-14.2336,-169.5144,26.99,85,92,4.89,AS,1702836280
355,pangai,-19.8,-174.35,27.06,78,75,7.2,TO,1702836281
356,ulladulla,-35.35,150.4667,19.32,93,25,1.96,AU,1702836282
357,temiskaming shores,47.4938,-79.7153,4.89,75,99,5.86,CA,1702836283
358,sinabang,2.4803,96.3801,27.31,82,95,4.02,ID,1702836284
359,susuman,62.7833,148.1667,-29.45,100,98,1.34,RU,1702836285
360,jiwani,25.05,61.7417,22.53,30,0,4.15,PK,1702836286
361,kourou,5.1552,-52.6478,31.03,66,88,3.32,GF,1702836288
362,razole,16.4833,81.8333,21.66,80,75,2.01,IN,1702836288
